type,id,name,cp,year_10143,year_09019,year_10148_BISM,year_10148_DA,year_10148_ESD,year_10148_ID,year_10148_NC,year_09119_BISM,year_09119_IDA,year_09119_NC,year_09119_ESDA,year_09119_AIDA,year_09119_MA,year_09119_ORA,year_09119_SA,year_09119_CPA
,76039,Jessup International Moot,6,,,,,,,,,,,,,,,,
,76040,Research Thesis,6,,,,,,,,,,,,,,,,
,76041,Climate Law and Carbon Markets,6,,,,,,,,,,,,,,,,
,76043,Building and Construction Law,6,,,,,,,,,,,,,,,,
,76045,Medicine and Law,6,,,,,,,,,,,,,,,,
,76047,Advanced Contracts,6,,,,,,,,,,,,,,,,
,76048,Citizenship and Immigration Law,6,,,,,,,,,,,,,,,,
,76052,Dispute Resolution Advocacy,6,,,,,,,,,,,,,,,,
,76056,Intellectual Property Commercialisation Overview,6,,,,,,,,,,,,,,,,
,76057,Judgment and the Rule of Law,6,,,,,,,,,,,,,,,,
,76063,Media Law,6,,,,,,,,,,,,,,,,
,76066,Children and the Law,6,,,,,,,,,,,,,,,,
,76068,Indigenous Peoples and the Law,6,,,,,,,,,,,,,,,,
,76069,Law and Justice Studies,6,,,,,,,,,,,,,,,,
,76070,Biomedical Law and Bioethics,6,,,,,,,,,,,,,,,,
,76074,Australian Civil Liberties Law,6,,,,,,,,,,,,,,,,
,76080,Finance Law,6,,,,,,,,,,,,,,,,
,76081,Gender and Law,6,,,,,,,,,,,,,,,,
,76084,Intellectual Property: Copyright and Designs,6,,,,,,,,,,,,,,,,
,76085,Intellectual Property: Trade Marks and Patents,6,,,,,,,,,,,,,,,,
,76086,Advanced Commercial Transactions,6,,,,,,,,,,,,,,,,
,76087,Workplace Health and Safety Law,6,,,,,,,,,,,,,,,,
,76088,Discrimination and the Law,6,,,,,,,,,,,,,,,,
,76089,Privacy and Surveillance Law,6,,,,,,,,,,,,,,,,
,76090,Research Methodology,6,,,,,,,,,,,,,,,,
,76091,Advanced Evidence,6,,,,,,,,,,,,,,,,
,76092,Advanced Property,6,,,,,,,,,,,,,,,,
,76093,Elder Law,6,,,,,,,,,,,,,,,,
